repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
spcl/graph-of-thoughts,AI engineering,Prompt engineering,1816,4,0.22%,23,1.27%,115,"Official Implementation of ""Graph of Thoughts: Solving Elaborate Problems with Large Language Models""","nblach, rgersten, aleskubicek",4,2023-08-18,2024-03-11,0
OpenNMT/CTranslate2,Model development,Inference optimization,2721,4,0.15%,37,1.36%,241,Fast inference engine for Transformer models,"guillaumekln, minhthuc2502, vince62s",47,2019-09-23,2024-02-09,0
VinAIResearch/PhoGPT,Model repo,Multilingual,719,4,0.56%,8,1.11%,59,PhoGPT: Generative Pre-training for Vietnamese (2023),datquocnguyen,1,2023-11-06,1000-01-01,0
embeddings-benchmark/mteb,AI engineering,Evals,1234,4,0.32%,34,2.76%,117,MTEB: Massive Text Embedding Benchmark,"Muennighoff, NouamaneTazi, loicmagne",31,2022-04-05,2024-04-04,18
eosphoros-ai/DB-GPT,Applications,Coding,10659,4,0.04%,99,0.93%,1304,AI Native Data App Development framework with AWEL(Agentic Workflow Expression Language) and Agents,"Aries-ckt, csunny, yhjun1026",68,2023-04-13,2024-04-02,0
luban-agi/Awesome-AIGC-Tutorials,Tutorials,,3335,4,0.12%,34,1.02%,217,"Curated tutorials and resources for Large Language Models, AI Painting, and more. ",zht1130,1,2023-08-22,1000-01-01,0
mit-han-lab/streaming-llm,AI engineering,Prompt engineering,6121,4,0.07%,26,0.42%,348,[ICLR 2024] Efficient Streaming Language Models with Attention Sinks,"Guangxuan-Xiao, songhan, cosmojg",5,2023-09-29,2023-10-05,0
Vision-CAIR/MiniGPT-4,Model repo,Multimodal,24760,4,0.02%,43,0.17%,2871,"Open-sourced codes for MiniGPT-4 and MiniGPT-v2 (https://minigpt-4.github.io, https://minigpt-v2.github.io/)","junchen14, TsuTikgiau, xiaoqian-shen",13,2023-04-15,2023-11-01,0
roboflow/inference,Infrastructure,Serving,984,4,0.41%,112,11.38%,59,"A fast, easy-to-use, production-ready inference server for computer vision supporting deployment of many popular model architectures and fine-tuned models.","PawelPeczek-Roboflow, paulguerrie, probicheaux",27,2023-07-31,2024-04-03,0
tensorchord/Awesome-LLMOps,Lists,,2900,4,0.14%,68,2.34%,290,An awesome & curated list of best LLMOps tools for developers,"gaocegege, WarrenWen666, NeroHin",70,2022-04-15,2024-04-03,0
cleanlab/cleanlab,Model development,Dataset engineering,8180,4,0.05%,27,0.33%,645,"The standard data-centric AI package for data quality and machine learning with messy, real-world data and labels.","cgnorthcutt, jwmueller, elisno",45,2018-05-11,2024-04-04,0
Josh-XT/AGiXT,AI engineering,Agent,2405,4,0.17%,54,2.25%,318,"AGiXT is a dynamic AI Agent Automation Platform that seamlessly orchestrates instruction management and complex task execution across diverse AI providers. Combining adaptive memory, smart features, and a versatile plugin system, AGiXT delivers efficient and comprehensive AI solutions.","Josh-XT, JamesonRGrieve, localagi",38,2023-04-17,2024-04-04,0
embedchain/embedchain,AI engineering,AIE framework,8365,4,0.05%,35,0.42%,1026,Personalizing LLM Responses,"taranjeet, deshraj, cachho",88,2023-06-20,2023-09-27,0
yangjianxin1/Firefly,Model development,Modeling & training,4235,4,0.09%,74,1.75%,371,Firefly: 大模型训练工具，支持训练Gemma、MiniCPM、Yi、Deepseek、Orion、Xverse、Mixtral-8x7B、Zephyr、Mistral、Baichuan2、Llma2、Llama、Qwen、Baichuan、ChatGLM2、InternLM、Ziya2、Vicuna、Bloom等大模型,yangjianxin1,1,2023-04-02,2024-03-02,0
postgresml/postgresml,AI engineering,AI interface,5370,4,0.07%,21,0.39%,252,"The GPU-powered AI application database. Get your app to market faster using the simplicity of SQL and the latest NLP, ML + LLM models.","levkk, montanalow, SilasMarvin",39,2022-04-11,2024-04-02,0
deeppavlov/DeepPavlov,AI engineering,AIE framework,6526,4,0.06%,13,0.20%,1129,An open source library for deep learning end-to-end dialog systems and chatbots.,"dilyararimovna, yoptar, my-master",71,2017-11-17,2024-03-13,0
georgezouq/awesome-ai-in-finance,Tutorials,,2756,4,0.15%,19,0.69%,351,🔬 A curated list of awesome LLMs & deep learning strategies & tools in financial market.,"georgezouq, anmorgan24, jiminHuang",17,2018-08-29,2024-03-21,0
sashabaranov/go-openai,AI engineering,AI interface,8045,4,0.05%,42,0.52%,1174,"OpenAI ChatGPT, GPT-3, GPT-4, DALL·E, Whisper API wrapper for Go","sashabaranov, vvatanabe, henomis",100+,2020-08-18,2024-03-15,0
OpenBMB/MiniCPM,Model repo,,3399,4,0.12%,71,2.09%,231,MiniCPM-2B: An end-side LLM outperforms Llama2-13B.,"THUCSTHanxu13, ShengdingHu, huangyuxiang03",19,2024-01-29,2024-03-01,0
leondz/garak,AI engineering,Evals,763,4,0.52%,14,1.83%,83,LLM vulnerability scanner,"leondz, erickgalinkin, shubhobm",14,2023-05-10,2024-04-02,0
camel-ai/camel,Applications,Bots,4336,4,0.09%,24,0.55%,536,🐫 CAMEL: Communicative Agents for “Mind” Exploration of Large Language Model Society (NeruIPS'2023) https://www.camel-ai.org,"lightaime, Obs01ete, dandansamax",23,2023-03-17,2024-04-01,0
tatsu-lab/stanford_alpaca,Model repo,,28660,4,0.01%,40,0.14%,3975,"Code and documentation to train Stanford's Alpaca models, and generate the data.","lxuechen, rtaori, YannDubs",5,2023-03-10,2023-04-16,0
leptonai/leptonai,AI engineering,AIE framework,2367,4,0.17%,32,1.35%,150,A Pythonic framework to simplify AI service building,"Yangqing, bddppq, bobmayuze",20,2023-09-06,2024-04-02,0
microsoft/lmops,AI engineering,AIE framework,3124,4,0.13%,31,0.99%,224,General technology for enabling AI capabilities w/ LLMs and MLLMs,"donglixp, t1101675, buaahsh",20,2022-12-13,2024-02-28,0
pinecone-io/canopy,AI engineering,AIE framework,842,4,0.48%,11,1.31%,95,Retrieval Augmented Generation (RAG) framework and context engine powered by Pinecone,"igiloh-pinecone, acatav, miararoy",22,2023-08-08,2024-03-27,12
lonePatient/awesome-pretrained-chinese-nlp-models,Lists,,4097,4,0.10%,45,1.10%,405,Awesome Pretrained Chinese NLP Models，高质量中文预训练模型&大模型&多模态模型&大语言模型集合,"lonePatient, sliderSun, yangapku",6,2019-05-25,2023-12-27,0
PrefectHQ/marvin,AI engineering,Prompt engineering,4633,4,0.09%,31,0.67%,296,✨ Build AI interfaces that spark joy,"jlowin, zzstoatzz, aaazzam",39,2023-03-10,2024-04-04,0
metavoiceio/metavoice-src,Model repo,Multimodal,2909,4,0.14%,33,1.13%,363,"Foundational model for human-like, expressive TTS","sidroopdaska, lucapericlp, vatsalaggarwal",10,2024-02-06,2024-04-02,0
vincelwt/chatgpt-mac,Applications,Bots,6227,4,0.06%,18,0.29%,508,"ChatGPT for Mac, living in your menubar.","vincelwt, francip, samasante",4,2022-12-01,2022-12-12,333744
OpenBMB/XAgent,AI engineering,Agent,7341,4,0.05%,51,0.69%,732,An Autonomous LLM Agent for Complex Task Solving,"luyaxi, ChengFai, Umpire2018",34,2023-10-16,2024-03-04,0
OpenGVLab/LLaMA-Adapter,Model repo,,5450,4,0.07%,17,0.31%,355,[ICLR 2024] Fine-tuning LLaMA to follow Instructions within 1 Hour and 1.2M Parameters,"ZrrSkywalker, csuhan, ChrisLiu6",12,2023-03-19,2023-07-10,5086
nlpxucan/WizardLM,Model repo,,8485,4,0.05%,21,0.25%,630,"LLMs build upon Evol Insturct: WizardLM, WizardCoder, WizardMath","victorsungo, nlpxucan, ChiYeungLaw",6,2023-04-23,2024-01-04,0
karthink/gptel,Applications,Bots,872,4,0.46%,25,2.87%,84,A simple LLM client for Emacs,"karthink, joaotavora, tshu-w",27,2023-03-06,2024-03-20,0
getzep/zep,AI engineering,AIE framework,1900,4,0.21%,18,0.95%,289,Zep: Long-Term Memory for ‍AI Assistants.,"danielchalef, rsharath, petergarbers",7,2023-04-29,2024-03-27,0
sigoden/aichat,Applications,Bots,2544,4,0.16%,35,1.38%,171,"All-in-one CLI tool for 10+ AI platforms, including OpenAI(ChatGPT), Gemini, Claude, Mistral, LocalAI, Ollama, VertexAI, Ernie, Qianwen...","sigoden, HKABIG, AnthonyMichaelTDM",14,2023-03-03,2024-03-28,3074
AnswerDotAI/fsdp_qlora,Model development,Modeling & training,1052,4,0.38%,21,2.00%,150,Training LLMs with QLoRA + FSDP,"KeremTurgutlu, johnowhitaker, warner-benjamin",5,2024-01-14,2024-03-28,0
majacinka/crewai-experiments,Tutorials,,610,4,0.66%,29,4.75%,142,Experiments with local as well as models available through an api,majacinka,1,2024-01-13,1000-01-01,0
IntelLabs/fastRAG,AI engineering,AIE framework,851,4,0.47%,27,3.17%,66,Efficient Retrieval Augmentation and Generation Framework,"danielfleischer, peteriz, mosheber",7,2023-01-23,2024-03-11,0
bbycroft/llm-viz,Tutorials,,2351,4,0.17%,33,1.40%,247,3D Visualization of an GPT-style LLM,"bbycroft, iblech",2,2023-03-01,2023-12-05,0
microsoft/lida,Model repo,Multimodal,2342,4,0.17%,23,0.98%,217,Automatic Generation of Visualizations and Infographics using Large Language Models,"victordibia, Alfred-Onuada, bx-h",14,2023-03-09,2024-03-03,0
run-llama/LlamaIndexTS,AI engineering,AIE framework,1229,4,0.33%,28,2.28%,249,LlamaIndex is a data framework for your LLM applications,"yisding, marcusschiesser, himself65",55,2023-06-13,2024-04-03,0
Arize-ai/phoenix,AI engineering,Evals,2471,4,0.16%,72,2.91%,166,AI Observability & Evaluation,"mikeldking, axiomofjoy, RogerHYang",29,2022-11-09,2024-04-04,0
huggingface/autotrain-advanced,Model development,Modeling & training,2960,4,0.14%,34,1.15%,350,🤗 AutoTrain Advanced,"abhishekkrthakur, SBrandeis, liveaverage",18,2020-12-15,2024-03-26,0
memochou1993/gpt-ai-assistant,Applications,Bots,6906,4,0.06%,20,0.29%,8926,OpenAI + LINE + Vercel = GPT AI Assistant,"memochou1993, androchentw, mics8128",4,2022-12-09,2023-05-03,0
andrewnguonly/Lumos,Applications,Workflow automation,1181,4,0.34%,46,3.90%,80,"A RAG LLM co-pilot for browsing the web, powered by local LLMs","andrewnguonly, billykern, eltociear",3,2023-11-13,2024-04-01,342
cloneofsimo/lora,Model development,Modeling & training,6531,4,0.06%,26,0.40%,455,Using Low-rank adaptation to quickly fine-tune diffusion models.,"cloneofsimo, hdeezy, levi",18,2022-12-08,2023-01-29,0
alexrudall/ruby-openai,AI engineering,AI interface,2352,4,0.17%,22,0.94%,270,"OpenAI API + Ruby! 🤖❤️ Now with Assistants, Threads, Messages, Runs and Text to Speech 🍾","alexrudall, dependabot-preview[bot], Haegin",41,2020-08-03,2024-03-31,0
kserve/kserve,Infrastructure,Serving,2984,4,0.13%,23,0.77%,944,Standardized Serverless ML Inference Platform on Kubernetes,"yuzisun, sivanantha321, andyi2it",100+,2019-03-27,2024-04-03,1110163
Lightning-AI/lightning-thunder,Model development,Inference optimization,915,4,0.44%,118,12.90%,48,Make PyTorch models up to 40% faster! Thunder is a source to source compiler for PyTorch. It enables using different hardware executors at once; across one or thousands of GPUs.,"mruberry, IvanYashchuk, t-vi",37,2024-03-18,2024-04-04,0
ysymyth/ReAct,AI engineering,Prompt engineering,1500,3,0.20%,18,1.20%,157,[ICLR 2023] ReAct: Synergizing Reasoning and Acting in Language Models,"ysymyth, john-b-yang",2,2022-11-13,2023-07-14,0
Trusted-AI/adversarial-robustness-toolbox,AI engineering,Evals,4415,3,0.07%,18,0.41%,1112,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams","beat-buesser, minhitbk, killianlevacher",99,2018-03-15,2024-04-04,0
luosiallen/latent-consistency-model,Model repo,,3991,3,0.08%,29,0.73%,205,Latent Consistency Models: Synthesizing High-Resolution Images with Few-Step Inference,"luosiallen, tyq1024, chenxwh",12,2023-10-06,2023-11-11,0
mosaicml/composer,Model development,Modeling & training,4947,3,0.06%,38,0.77%,389,Supercharge Your Model Training,"mvpatel2000, ravi-mosaicml, dakinggg",100+,2021-10-12,2024-04-03,0
evalplus/evalplus,AI engineering,Evals,804,3,0.37%,14,1.74%,66,EvalPlus for rigourous evaluation of LLM-synthesized code,"ganler, Kristoff-starling, brutalsavage",9,2023-04-15,2024-04-04,2240
allenai/open-instruct,Model development,Modeling & training,956,3,0.31%,9,0.94%,120,,"yizhongw, hamishivi, jacob-morrison",8,2023-06-09,2024-03-29,0
linyiLYi/street-fighter-ai,Applications,Bots,6057,3,0.05%,21,0.35%,1299,This is an AI agent for Street Fighter II Champion Edition.,"linyiLYi, kianmeng, arch-fan",3,2023-03-27,2023-04-21,0
InternLM/InternLM,Model repo,Multilingual,5043,3,0.06%,110,2.18%,372,Official release of InternLM2 7B and 20B base and chat models. 200K context support,"huangting4201, sunpengsdu, yingtongxiong",50,2023-07-06,2024-03-30,0
simonw/llm,Applications,Bots,2747,3,0.11%,40,1.46%,123,Access large language models from the command-line,"simonw, cmungall, almet",19,2023-04-01,2024-01-26,0
Alpha-VLLM/LLaMA2-Accessory,Model development,Modeling & training,2416,3,0.12%,17,0.70%,153,An Open-source Toolkit for LLM Development,"ChrisLiu6, Enderfga, kriskrisliu",19,2023-07-21,2024-03-15,0
langchain-ai/langserve,Infrastructure,Serving,1517,3,0.20%,37,2.44%,141,LangServe 🦜️🏓,"eyurtsev, nfcampos, dqbd",22,2023-09-29,2024-04-03,107
SqueezeAILab/LLMCompiler,AI engineering,AIE framework,1024,3,0.29%,11,1.07%,78,LLMCompiler: An LLM Compiler for Parallel Function Calling,"kssteven418, hwchase17, eltociear",4,2023-12-06,2024-03-24,0
FMInference/FlexGen,Infrastructure,Serving,8959,3,0.03%,13,0.15%,516,Running large language models on a single GPU for throughput-oriented scenarios.,"Ying1123, merrymercy, zhangce",18,2023-02-15,2023-07-07,0
hendrycks/test,AI engineering,Evals,887,3,0.34%,17,1.92%,73,Measuring Massive Multitask Language Understanding | ICLR 2021,"hendrycks, Helw150, xksteven",6,2020-09-07,2023-04-24,0
time-series-foundation-models/lag-llama,Model repo,,868,3,0.35%,18,2.07%,86,Lag-Llama: Towards Foundation Models for Probabilistic Time Series Forecasting,"ashok-arjun, kashif",2,2024-02-07,1000-01-01,0
langchain-ai/opengpts,AI engineering,AIE framework,6001,3,0.05%,50,0.83%,747,,"nfcampos, bakar-io, mkorpela",21,2023-11-04,2024-04-04,0
OpenBMB/AgentVerse,AI engineering,Agent,3559,3,0.08%,32,0.90%,331,"🤖 AgentVerse 🪐 is designed to facilitate the deployment of multiple LLM-based agents in various applications, which primarily provides two frameworks: task-solving and simulation","chenweize1998, yushengsu-thu, chanchimin",21,2023-05-06,2024-03-24,0
Nutlope/roomGPT,Applications,Image production,9451,3,0.03%,17,0.18%,1192,Upload a photo of your room to generate your dream room with AI.,"Nutlope, ljwagerfield, Nick-h4ck3r",6,2023-02-21,2023-09-20,0
llmonitor/llmonitor,Infrastructure,Monitoring,815,3,0.37%,22,2.70%,79,"The production toolkit for LLMs. Observability, prompt management and evaluations. ","hughcrt, vincelwt, edwardzjl",5,2023-05-12,2024-03-25,0
mit-han-lab/llm-awq,Model development,Inference optimization,1714,3,0.18%,27,1.58%,125,AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration,"kentang-mit, tonylins, Sakits",10,2023-06-01,2024-03-30,0
divamgupta/diffusionbee-stable-diffusion-ui,Applications,Image production,11854,3,0.03%,26,0.22%,578,Diffusion Bee is the easiest way to run Stable Diffusion locally on your M1 Mac. Comes with a one-click installer. No dependencies or technical knowledge needed.,"divamgupta, AEtheve, CrudeDiatribe",18,2022-09-06,2023-12-28,734980
Ironclad/rivet,AI engineering,Agent,2292,3,0.13%,18,0.79%,205,The open-source visual AI programming environment and TypeScript library,"abrenneke, gogwilt, viveknair",29,2023-04-22,2024-03-25,33426
aiwaves-cn/agents,AI engineering,Agent,4452,3,0.07%,26,0.58%,333,An Open-source Framework for Autonomous Language Agents,"jianghuyihei, callanwu, MikeDean2367",21,2023-07-18,2023-12-04,0
activeloopai/deeplake,Infrastructure,VectorDB,7649,3,0.04%,25,0.33%,582,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai","FayazRahman, AbhinavTuli, verbose-void",100+,2019-08-09,2024-04-02,0
Helicone/helicone,Infrastructure,Monitoring,1312,3,0.23%,10,0.76%,140,,"chitalian, ScottMktn, colegottdank",37,2023-01-31,2024-04-02,0
yerfor/GeneFace,Model repo,Multimodal,2286,3,0.13%,19,0.83%,272,GeneFace: Generalized and High-Fidelity 3D Talking Face Synthesis; ICLR 2023; Official code,"yerfor, SouthTea, xk-huang",4,2023-02-03,2023-12-16,6647
argilla-io/argilla,Model development,Dataset engineering,3064,3,0.10%,15,0.49%,305,"Argilla is a collaboration platform for AI engineers and domain experts that require high-quality outputs, full data ownership, and overall efficiency.","frascuchon, leiyre, alvarobartt",76,2021-04-28,2024-04-03,0
ray-project/llm-applications,Tutorials,,1435,3,0.21%,25,1.74%,177,A comprehensive guide to building RAG-based LLM applications for production.,"GokuMohandas, pcmoritz, maxpumperla",5,2023-08-16,2024-04-02,0
SuperDuperDB/superduperdb,Infrastructure,Data management,4275,3,0.07%,26,0.61%,420,"🔮 SuperDuperDB: Bring AI to your database! Build, deploy and manage any AI application directly with your existing data infrastructure, without moving your data. Including streaming inference, scalable model training and vector search.","blythed, rec, kartik4949",37,2022-08-30,2024-03-25,62
open-compass/opencompass,AI engineering,Evals,2288,3,0.13%,56,2.45%,235,"OpenCompass is an LLM evaluation platform, supporting a wide range of models (InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.","Leymore, gaotongxiao, yingfhu",76,2023-06-15,2024-04-02,3628
threestudio-project/threestudio,Model repo,Multimodal,5526,3,0.05%,36,0.65%,414,A unified framework for 3D content generation.,"bennyguo, thuliu-yt16, DSaurus",27,2023-04-06,2024-01-07,0
evo-design/evo,Model repo,Multimodal,701,3,0.43%,12,1.71%,80,DNA foundation modeling from molecular to genome scale,"brianhie, athms, Zymrael",6,2024-02-17,2024-03-12,0
epfLLM/meditron,Model repo,,1506,3,0.20%,14,0.93%,127,Meditron is a suite of open-source medical Large Language Models (LLMs).,"eric11eca, AGBonnet, jpcorb20",10,2023-11-23,2024-03-25,0
dvlab-research/LISA,Model repo,Multimodal,1398,3,0.21%,18,1.29%,93,"Project Page for ""LISA: Reasoning Segmentation via Large Language Model""","X-Lai, tianzhuotao, yukang2017",9,2023-08-01,2023-10-30,0
